;Semestre;CRN;Materia;Seccion;Creditos;Titulo;Cupo;Inscritos;Disponible;1Dias;1Horas;1Salon;Area util_s1;Bloque_s1;Capacidad_s1;Ext_s1;Fijo/Movil_s1;Movil Express_s1;Tipo Mobiliario_s1;1F. Inicial;1F. Final;2Dias;2Horas;2Salon;Area util_s2;Bloque_s2;Capacidad_s2;Ext_s2;Fijo/Movil_s2;Movil Express_s2;Tipo Mobiliario_s2;2F. Inicial;2F. Final;3Dias;3Horas;3Salon;Area util_s3;Bloque_s3;Capacidad_s3;Ext_s3;Fijo/Movil_s3;Movil Express_s3;Tipo Mobiliario_s3;3F. Inicial;3F. Final;1Instructor;2Instructor;3Instructor
858;2018-01;31005;DECA-1001;27;1;HERRAMIENTAS VIDA UNIVERSITARI;0;0;0;V;0800 - 0920;Z_202;46,4;Z;34.0;nan;Movil;No;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;BLANCO FIGUEROA JULIE XIMENA;;
859;2018-01;31011;DECA-1001;28;1;HERRAMIENTAS VIDA UNIVERSITARI;30;17;13;V;0930 - 1050;Z_212;52,5;Z;30.0;nan;Movil;No;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;CARO RINCON JENNY ROCIO;;
860;2018-01;31013;DECA-1001;29;1;HERRAMIENTAS VIDA UNIVERSITARI;30;10;20;V;0930 - 1050;Z_202;46,4;Z;34.0;nan;Movil;No;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;BURGOS CARDENAS JUANITA;;
861;2018-01;31014;DECA-1001;30;1;HERRAMIENTAS VIDA UNIVERSITARI;30;13;17;V;1400 - 1520;Z_212;52,5;Z;30.0;nan;Movil;No;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;COLORADO QUEVEDO LUIS GABRIEL;;
868;2018-01;27433;DEIN-4402;1;4;SEMINARIO DE INVESTIGACIÓN;30;11;19;I;1700 - 1950;PU_200;32,8;Pu;32.0;nan;Movil;No;Pupitre universitario;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;CARDENAS PAULSEN AURA MARIA;;
870;2018-01;29165;DEIN-4601;1;4;MERCADOS Y DERECHO INT;35;31;4;L;1700 - 1950;AU_205;59,8;Au;40.0;5612.0;Movil;SI;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;WILLS VALDERRAMA SANTIAGO;;
871;2018-01;31303;DEIN-4604;1;4;DERECHO PENAL INTERNACIONAL;25;10;15;J;1700 - 1950;AU_304;37,1;Au;28.0;5622.0;Movil;No;Pupitre universitario;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;CIFUENTES GHIDINI GABRIEL;URIBE SANABRIA MARIA CAMILA;
872;2018-01;31134;DEIN-4606;1;4;DERECHO AMBIENTAL INTERNACIONA;35;10;25;M;1700 - 1950;AU_107;46,3;Au;36.0;5605.0;Movil;Si;Silla móvil, mesa móvil;22/01/18;11/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;NIETO CARRASCO JIMENA;;
873;2018-01;30388;DEMP-5203;1;1;RESPONSABILIDAD CIVIL;40;30;10;V;1400 - 1850;W_402;81,8;W;40.0;5014.0;Fijo;Si;Silla móvil y mesa fija;23/02/18;23/02/18;S;0800 - 1750;W_402;81,8;W;40.0;5014.0;Fijo;Si;Silla móvil y mesa fija;24/02/18;24/02/18;;;;;;;;;;;;;RENGIFO GRADEAZABAL MAURICIO;;
874;2018-01;30387;DEMP-5205;1;2;SOCIEDADES;40;30;10;V;1400 - 1850;W_402;81,8;W;40.0;5014.0;Fijo;Si;Silla móvil y mesa fija;26/01/18;26/01/18;S;0800 - 1750;W_402;81,8;W;40.0;5014.0;Fijo;Si;Silla móvil y mesa fija;27/01/18;27/01/18;V;1400 - 1850;W_402;81,8;W;40.0;5014.0;Fijo;Si;Silla móvil y mesa fija;9/2/2018;9/2/2018;RENGIFO GRADEAZABAL MAURICIO;;
875;2018-01;30389;DEMP-5301;1;2;RELACIONES LABORALES;40;31;9;V;1400 - 1850;W_402;81,8;W;40.0;5014.0;Fijo;Si;Silla móvil y mesa fija;9/3/2018;9/3/2018;S;0800 - 1750;W_402;81,8;W;40.0;5014.0;Fijo;Si;Silla móvil y mesa fija;10/3/2018;10/3/2018;V;1400 - 1850;W_402;81,8;W;40.0;5014.0;Fijo;Si;Silla móvil y mesa fija;23/03/18;23/03/18;RENGIFO GRADEAZABAL MAURICIO;;
876;2018-01;30390;DEMP-5302;1;1;EMPRESA Y CONFLICTO COLECTIVO;40;30;10;V;1400 - 1850;W_402;81,8;W;40.0;5014.0;Fijo;Si;Silla móvil y mesa fija;6/4/2018;6/4/2018;S;0800 - 1750;W_402;81,8;W;40.0;5014.0;Fijo;Si;Silla móvil y mesa fija;7/4/2018;7/4/2018;;;;;;;;;;;;;RENGIFO GRADEAZABAL MAURICIO;;
877;2018-01;29170;DEMP-5303;1;2;PROTECCION LABORAL;40;30;10;V;1400 - 1850;W_402;81,8;W;40.0;5014.0;Fijo;Si;Silla móvil y mesa fija;20/04/18;20/04/18;S;0800 - 1750;W_402;81,8;W;40.0;5014.0;Fijo;Si;Silla móvil y mesa fija;21/04/18;21/04/18;V;1400 - 1850;W_402;81,8;W;40.0;5014.0;Fijo;Si;Silla móvil y mesa fija;4/5/2018;4/5/2018;RENGIFO GRADEAZABAL MAURICIO;;
878;2018-01;29171;DENI-5704;1;4;CAMBIOS INTERN.Y TRIBUT.INTERN;40;19;21;LMIJV;0630 - 0820;ML_515;114,9;ML;44.0;1628.0;Movil;Si;Silla móvil, mesa móvil;22/01/18;5/2/2018;LMIJV;0630 - 0820;ML_515;114,9;ML;44.0;1628.0;Movil;Si;Silla móvil, mesa móvil;6/2/2018;19/02/18;LMIJV;0630 - 0820;ML_515;114,9;ML;44.0;1628.0;Movil;Si;Silla móvil, mesa móvil;20/02/18;6/3/2018;REY VALLEJO ALFREDO PABLO;LOZANO RODRIGUEZ ELEONORA;DIAZ RINCON INGRID MAGNOLIA
879;2018-01;29172;DENI-5705;1;4;FINANZAS Y MDOS INTERNALES;40;19;21;LMIJV;0630 - 0820;ML_515;114,9;ML;44.0;1628.0;Movil;Si;Silla móvil, mesa móvil;7/3/2018;23/03/18;LMIJV;0630 - 0820;ML_515;114,9;ML;44.0;1628.0;Movil;Si;Silla móvil, mesa móvil;2/4/2018;20/04/18;L;0630 - 0820;ML_515;114,9;ML;44.0;1628.0;Movil;Si;Silla móvil, mesa móvil;23/04/18;23/04/18;REY VALLEJO ALFREDO PABLO;DEL CASTILLO HERNANDEZ JOSE MARIA;ALFONSO CORREA CARLOS ALBERTO
880;2018-01;29173;DEPI-4104;1;4;PATENTES;60;62;-2;S;0830 - 1120;ML_514;98,1;ML;69.0;1620.0;Fijo;Si;Silla móvil y mesa fija;3/2/2018;3/2/2018;S;0830 - 1120;ML_514;98,1;ML;69.0;1620.0;Fijo;Si;Silla móvil y mesa fija;10/3/2018;10/3/2018;S;0830 - 1120;ML_514;98,1;ML;69.0;1620.0;Fijo;Si;Silla móvil y mesa fija;14/04/18;14/04/18;ORTEGA DIAZ JUAN FRANCISCO;PEÑALOZA CASTRO DIANA CAROLINA;
881;2018-01;29174;DEPI-4105;1;4;DISEÑO INDUST.SECRETO EMPRESAR;50;11;39;V;1400 - 1650;LL_303;51,5;LL;50.0;5091.0;Movil;No;Pupitre universitario;2/2/2018;2/2/2018;V;1400 - 1520;NOREQ;;;;;;;;9/3/2018;9/3/2018;V;1530 - 1650;Y_111B;43,6;Y;24.0;nan;Movil;No;Silla móvil, mesa móvil;9/3/2018;9/3/2018;HERRAN MARTINEZ FRANCISCO JAVIER;PEÑALOZA CASTRO DIANA CAROLINA;
882;2018-01;29175;DEPI-4106;1;4;DE LAS NUEVAS TECNOLOGIAS;50;18;32;S;1300 - 1550;LL_304;50,8;LL;50.0;5092.0;Movil;No;Pupitre universitario;3/2/2018;3/2/2018;S;1300 - 1550;LL_304;50,8;LL;50.0;5092.0;Movil;No;Pupitre universitario;10/3/2018;10/3/2018;S;1300 - 1550;LL_304;50,8;LL;50.0;5092.0;Movil;No;Pupitre universitario;14/04/18;14/04/18;REMOLINA ANGARITA NELSON;GAMBOA BERNATE RAFAEL HERNANDO;
1049;2018-01;29180;DEPR-4100;1;4;RESPONSABILIDAD CIVIL;50;35;15;I;1700 - 1950;ML_604;125,7;ML;81.0;1616.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;DURAN MENDEZ SEBASTIAN;CASTRO RUIZ MARCELA;
1050;2018-01;29181;DEPR-4101;1;4;D. DE LAS MULTIN Y RES. S. EMP;15;12;3;J;1700 - 1950;W_205;55,2;W;24.0;5008.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;MORALES DE SETIEN RAVINA CARLOS FRANCISC;;
1051;2018-01;29182;DEPR-4107;1;4;DERECHO FINANCIERO;15;8;7;J;1700 - 1950;W_502;55;W;24.0;5018.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;VARON PALOMINO JUAN CARLOS;;
1053;2018-01;10250;DERE-1101;1;4;INTRODUCCION AL DERECHO;30;23;7;IV;1530 - 1720;Z_201;42,3;Z;36.0;nan;Movil;No;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;ARIZA HIGUERA LIBARDO;;
1054;2018-01;10251;DERE-1101;2;4;INTRODUCCION AL DERECHO;30;30;0;LI;1400 - 1550;AU_104;62,6;Au;48.0;5604.0;Movil;Si;Mesa trapezoidal con silla móviles;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;JIMENEZ VALENCIA FARIDY;;
1055;2018-01;10252;DERE-1101;3;4;INTRODUCCION AL DERECHO;30;30;0;MJ;1100 - 1250;PU_300;32,6;Pu;35.0;nan;Movil;No;Pupitre universitario;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;PERAFAN LIEVANO BETSY YADIR;;
1056;2018-01;10253;DERE-1101;4;4;INTRODUCCION AL DERECHO;30;23;7;LI;1230 - 1420;PU_300;32,6;Pu;35.0;nan;Movil;No;Pupitre universitario;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;GUERRERO TENGANAN ROLANDO VICTOR;;
1057;2018-01;16967;DERE-1101;5;4;INTRODUCCION AL DERECHO;30;27;3;LJ;0630 - 0820;PU_300;32,6;Pu;35.0;nan;Movil;No;Pupitre universitario;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;CORREA FLOREZ MARIA CAMILA;;
1058;2018-01;10030;DERE-1102;1;3;LOGICA Y RETORICA;20;26;-6;LJ;1100 - 1220;SD_202;58,8;Sd;26.0;nan;Movil;Si;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;AMAYA GONZALEZ RENATA;;
1059;2018-01;10031;DERE-1102;2;3;LOGICA Y RETORICA;20;20;0;LJ;0630 - 0750;SD_202;58,8;Sd;26.0;nan;Movil;Si;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;FORERO VILLARREAL NICOLAS;;
1060;2018-01;10562;DERE-1102;3;3;LOGICA Y RETORICA;20;24;-4;MV;0800 - 0920;SD_204;58,8;Sd;26.0;nan;Movil;Si;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;MEJIA LOPEZ CATALINA DEL PILAR;;
1061;2018-01;10987;DERE-1102;4;3;LOGICA Y RETORICA;20;19;1;MV;0930 - 1050;AU_208;30,9;Au;27.0;5615.0;Movil;No;Pupitre universitario;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;CAMACHO OSORIO JUAN CAMILO;;
1062;2018-01;11364;DERE-1102;5;3;LOGICA Y RETORICA;20;24;-4;MV;0930 - 1050;SD_204;58,8;Sd;26.0;nan;Movil;Si;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;CORREA MONTOYA LUCAS;;
1063;2018-01;16969;DERE-1102;6;3;LOGICA Y RETORICA;20;20;0;MV;1400 - 1520;SD_202;58,8;Sd;26.0;nan;Movil;Si;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;PICASSO UVALLE NORA ESTEFANIA;;
1066;2018-01;15127;DERE-1103;3;3;SOCIOLOGIA JURIDICA;35;23;12;LJ;1400 - 1520;AU_401;46;Au;40.0;5631.0;Movil;Si;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;OLARTE OLARTE MARIA CAROLINA;;
1067;2018-01;25155;DERE-1103;4;3;SOCIOLOGIA JURIDICA;35;35;0;V;1100 - 1220;AU_401;46;Au;40.0;5631.0;Movil;Si;Silla móvil, mesa móvil;22/01/18;12/5/2018;M;1100 - 1220;O_201;;;;;;;;22/01/18;12/5/2018;;;;;;;;;;;;;FIGUEROA GARCIA HERREROS NICOLAS;;
1068;2018-01;30645;DERE-1107;1;3;ETICA Y MEDIO AMBIENTE;45;51;-6;MV;1400 - 1520;B_201;122,8;B;51.0;1439.0;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;CABEZA MEZA OLGA FABIOLA;;
1069;2018-01;14078;DERE-1124B;1;3;CINE Y CRIMEN;24;38;-14;J;1400 - 1650;B_201;122,8;B;51.0;1439.0;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;TORRES GOMEZ MARIO ANDRES;;
1070;2018-01;10257;DERE-1201;1;3;DERECHO ROMANO;30;30;0;MV;0800 - 0920;Z_103;40,1;Z;35.0;nan;Movil;No;Pupitre universitario;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;CIFUENTES MUÑOZ MANUEL ENRIQUE;;
1071;2018-01;10258;DERE-1201;2;3;DERECHO ROMANO;30;35;-5;LI;0630 - 0750;W_504;82,3;W;42.0;5020.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;CORCIONE MORALES MARIA CAROLINA;;
1072;2018-01;10259;DERE-1201;3;3;DERECHO ROMANO;52;32;20;MV;0630 - 0750;LL_302;51,6;LL;52.0;5090.0;Movil;No;Pupitre universitario;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;MENDOZA ROZO CAMILO;;
1073;2018-01;13176;DERE-1201;4;3;DERECHO ROMANO;30;23;7;LJ;0630 - 0750;R_109;37,5;R;37.0;nan;Movil;No;Pupitre universitario;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;ARAQUE QUIJANO DAVID RICARDO;;
1074;2018-01;10809;DERE-1202;1;3;FUNDAM DERE DE LOS NEGOCIOS;80;78;2;LI;1100 - 1220;ML_607;125,7;ML;81.0;1624.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;ORTEGA DIAZ JUAN FRANCISCO;;
1075;2018-01;10841;DERE-1202;2;3;FUNDAM DERE DE LOS NEGOCIOS;80;37;43;J;0930 - 1050;G_101;120,6;G;84.0;5501.0;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;L;0930 - 1050;SD_801;140;Sd;82.0;1110.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;CASTRO RUIZ MARCELA;;
1076;2018-01;23628;DERE-1202;3;3;FUNDAM DERE DE LOS NEGOCIOS;80;46;34;LJ;1530 - 1650;G_101;120,6;G;84.0;5501.0;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;GIRALDO BUSTAMANTE CARLOS JULIO;;
1077;2018-01;10060;DERE-1300;1;3;CONSTITUCION Y DEMOCRACIA;100;98;2;LI;1100 - 1220;C_104;130,8;C;100.0;nan;Fijo;si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;BARRETO ROZO ANTONIO FELIPE;;
1078;2018-01;10061;DERE-1300;2;3;CONSTITUCION Y DEMOCRACIA;100;94;6;M;0800 - 0920;R_210;172,8;R;192.0;nan;Fijo;No;Silla y superficie abatible fijas;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;MORALES DE SETIEN RAVINA CARLOS FRANCISC;;
1079;2018-01;10062;DERE-1300;3;3;CONSTITUCION Y DEMOCRACIA;100;90;10;LI;0800 - 0920;ML_608;165,5;ML;117.0;1631.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;BONILLA MALDONADO DANIEL EDUARDO;;
1080;2018-01;10063;DERE-1300;4;3;CONSTITUCION Y DEMOCRACIA;100;100;0;LJ;1400 - 1520;O_104;94;O;121.0;5253.0;Fijo;No;Silla y superficie abatible fijas;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;DURAN SMELA DIANA;;
1081;2018-01;10064;DERE-1300;5;3;CONSTITUCION Y DEMOCRACIA;100;98;2;LI;1400 - 1520;ML_608;165,5;ML;117.0;1631.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;LOPEZ MEDINA DIEGO EDUARDO;;
1082;2018-01;10065;DERE-1300;6;3;CONSTITUCION Y DEMOCRACIA;100;97;3;MJ;0930 - 1050;O_102;94;O;121.0;5251.0;Fijo;No;Silla y superficie abatible fijas;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;LAMPREA MONTEALEGRE EVERALDO;;
1083;2018-01;10066;DERE-1300;7;3;CONSTITUCION Y DEMOCRACIA;100;94;6;M;1100 - 1220;ML_603;165,6;ML;117.0;1626.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;LOPEZ STERUP HENRIK;;
1084;2018-01;10067;DERE-1300;8;3;CONSTITUCION Y DEMOCRACIA;100;104;-4;M;1230 - 1350;SD_805;233,1;Sd;135.0;1119.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;ORTEGA DIAZ JUAN FRANCISCO;;
1085;2018-01;10068;DERE-1300;9;3;CONSTITUCION Y DEMOCRACIA;100;94;6;LI;1230 - 1350;ML_608;165,5;ML;117.0;1631.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;RUEDA FONSECA MARIA DEL SOCORRO;;
1086;2018-01;10069;DERE-1300;10;3;CONSTITUCION Y DEMOCRACIA;100;96;4;MJ;1400 - 1520;C_104;130,8;C;100.0;nan;Fijo;si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;MALAGON PINZON MIGUEL;;
1087;2018-01;10982;DERE-1300;11;3;CONSTITUCION Y DEMOCRACIA;100;23;77;LI;1700 - 1820;ML_603;165,6;ML;117.0;1626.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;FAKHOURI GOMEZ YAMILA;;
1088;2018-01;10983;DERE-1300;12;3;CONSTITUCION Y DEMOCRACIA;100;99;1;LI;0930 - 1050;ML_608;165,5;ML;117.0;1631.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;GONZALEZ JACOME JORGE;;
1089;2018-01;11250;DERE-1300;13;3;CONSTITUCION Y DEMOCRACIA;100;76;24;LI;1530 - 1650;C_104;130,8;C;100.0;nan;Fijo;si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;BETANCUR RESTREPO LAURA;;
1090;2018-01;11394;DERE-1300;14;3;CONSTITUCION Y DEMOCRACIA;100;36;64;LJ;1530 - 1650;ML_603;165,6;ML;117.0;1626.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;AMAYA CASTRO JUAN MANUEL;;
1091;2018-01;11662;DERE-1300;15;3;CONSTITUCION Y DEMOCRACIA;100;73;27;MV;0630 - 0750;C_104;130,8;C;100.0;nan;Fijo;si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;RAMIREZ BUSTAMANTE NATALIA;;
1093;2018-01;12089;DERE-1301;2;3;TEORIA GENERAL DEL ESTADO;40;45;-5;IV;0630 - 0750;R_110;46,8;R;46.0;nan;Movil;No;Pupitre universitario;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;CASTILLO VALLEJO ALEJANDRO;;
1094;2018-01;12090;DERE-1301;3;3;TEORIA GENERAL DEL ESTADO;40;45;-5;I;0800 - 0920;ML_509;85,4;ML;61.0;1613.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;L;0800 - 0920;LL_302;51,6;LL;52.0;5090.0;Movil;No;Pupitre universitario;22/01/18;12/5/2018;;;;;;;;;;;;;GOMEZ FAJARDO JUAN CAMILO;;
1097;2018-01;10042;DERE-2101;2;3;HISTORIA DE LAS INSTITUCIONES;35;33;2;IV;1700 - 1820;AU_204;37,9;Au;40.0;5611.0;Movil;No;Pupitre universitario;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;LUNA BLANCO TANIA MARIA CAMILA;;
1098;2018-01;14030;DERE-2101;3;3;HISTORIA DE LAS INSTITUCIONES;35;25;10;LJ;1530 - 1650;O_405;60,9;O;44.0;5271.0;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;GUTIERREZ VIVAS JORGE MIGUEL;;
1099;2018-01;10045;DERE-2102;1;5;TEORIA JURIDICA;40;43;-3;I;1400 - 1550;LL_303;51,5;LL;50.0;5091.0;Movil;No;Pupitre universitario;22/01/18;12/5/2018;L;1400 - 1550;B_402;186,1;B;99.0;nan;Fijo;No (es salas de computo también);Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;GONZALEZ JACOME JORGE;;
1100;2018-01;11091;DERE-2102;2;5;TEORIA JURIDICA;40;40;0;MJ;0930 - 1120;S1_202;67;S1;45.0;nan;Movil;No;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;RESTREPO SALDARRIAGA ESTEBAN;;
1101;2018-01;18465;DERE-2102;3;5;TEORIA JURIDICA;40;42;-2;LI;0800 - 0950;S1_202;67;S1;45.0;nan;Movil;No;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;LOPEZ MEDINA DIEGO EDUARDO;;
1102;2018-01;11554;DERE-2103;1;3;ETICA PROFESIONAL;40;44;-4;LJ;1400 - 1520;Z_110;52,9;Z;47.0;nan;Movil;No;Pupitre universitario;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;AMAYA GONZALEZ RENATA;;
1103;2018-01;11555;DERE-2103;2;3;ETICA PROFESIONAL;40;35;5;LV;0800 - 0920;AU_104;62,6;Au;48.0;5604.0;Movil;Si;Mesa trapezoidal con silla móviles;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;ORTIZ DICELIS RUSBEL RICARDO;;
1104;2018-01;10260;DERE-2201;1;5;OBLIGACIONES I;27;30;-3;MJ;0930 - 1120;Z_201;42,3;Z;36.0;nan;Movil;No;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;RENGIFO GRADEAZABAL MAURICIO;;
1106;2018-01;10988;DERE-2201;3;5;OBLIGACIONES I;27;27;0;MJ;0630 - 0820;SD_716;140,4;Sd;65.0;1105.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;ALDANA GANTIVA CARLOS ANDRES;;
1107;2018-01;11365;DERE-2201;4;5;OBLIGACIONES I;27;25;2;MJ;0800 - 0950;R_109;37,5;R;37.0;nan;Movil;No;Pupitre universitario;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;TEJEIRO LOPEZ CARLOS ENRIQUE;;
1108;2018-01;14040;DERE-2201;5;5;OBLIGACIONES I;27;13;14;IV;0800 - 0950;R_109;37,5;R;37.0;nan;Movil;No;Pupitre universitario;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;PERILLA CASTRO CARLOS ANDRES;;
1109;2018-01;11082;DERE-2202;1;5;OBLIGACIONES II;27;29;-2;J;1400 - 1550;LL_302;51,6;LL;52.0;5090.0;Movil;No;Pupitre universitario;22/01/18;12/5/2018;M;1400 - 1550;O_303;64,2;O;56.0;5263.0;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;RENGIFO GRADEAZABAL MAURICIO;;
1110;2018-01;11092;DERE-2202;2;5;OBLIGACIONES II;27;31;-4;LI;0630 - 0820;SD_716;140,4;Sd;65.0;1105.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;ROJAS QUIÑONES SERGIO;;
1111;2018-01;11093;DERE-2202;3;5;OBLIGACIONES II;27;28;-1;MV;1230 - 1420;Z_103;40,1;Z;35.0;nan;Movil;No;Pupitre universitario;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;SUESCUN DE ROA FELIPE;;
1112;2018-01;11366;DERE-2202;4;5;OBLIGACIONES II;27;25;2;MV;0800 - 0950;PU_300;32,6;Pu;35.0;nan;Movil;No;Pupitre universitario;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;GAMBOA MORALES LUIS CARLOS;;
1113;2018-01;13286;DERE-2202;5;5;OBLIGACIONES II;27;16;11;IV;0930 - 1120;Z_103;40,1;Z;35.0;nan;Movil;No;Pupitre universitario;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;CASTRO RUIZ MARCELA;;
1114;2018-01;10057;DERE-2203;1;4;PROCEDIMIENTOS;37;16;21;LI;0930 - 1120;Z_203;72;Z;40.0;nan;Movil;No;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;RUEDA FONSECA MARIA DEL SOCORRO;;
1115;2018-01;10058;DERE-2203;2;4;PROCEDIMIENTOS;35;37;-2;MV;0630 - 0820;AU_401;46;Au;40.0;5631.0;Movil;Si;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;SIERRA BENAVIDES CAROLINA;;
1116;2018-01;27511;DERE-2203;3;4;PROCEDIMIENTOS;35;32;3;LI;0630 - 0820;AU_202;37,9;Au;40.0;5609.0;Movil;SI;Pupitre universitario;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;OTALORA LOZANO GUILLERMO;;
